n,trial_index,total_s,read_s,compute_s,write_s
1000,1,0.006000042,0.003539085,0.002416134,3.5048e-05
1000,2,0.0066998,0.004218102,0.002408028,6.2943e-05
1000,3,0.005913973,0.00346303,0.002383947,5.7936e-05
1000,4,0.005740166,0.003293037,0.002370834,6.6042e-05
1000,5,0.006078005,0.003319025,0.002655029,8.5115e-05
1000,6,0.005710125,0.003233194,0.002402067,6.6042e-05
1000,7,0.005771875,0.003281116,0.002418995,6.1989e-05
1000,8,0.006043911,0.003470182,0.002505064,5.9843e-05
1000,9,0.005678892,0.003211021,0.002396822,6.1989e-05
1000,10,0.005710125,0.00325489,0.00238204,6.3896e-05
1000,11,0.006019115,0.003571987,0.002381086,5.6982e-05
1000,12,0.005620003,0.003160954,0.002393007,5.6982e-05
1000,13,0.005681038,0.003201008,0.002414942,5.6028e-05
1000,14,0.005596876,0.003159046,0.002373219,5.579e-05
1000,15,0.005562067,0.003101826,0.002393961,5.6982e-05
1000,16,0.00579381,0.003291845,0.002433062,5.8889e-05
1000,17,0.005756855,0.003288984,0.002392054,6.6996e-05
1000,18,0.005699158,0.003228903,0.002401829,5.9128e-05
1000,19,0.005628824,0.003154039,0.00240016,6.485e-05
1000,20,0.005676985,0.00313592,0.002471924,6.0081e-05
1000,21,0.005644083,0.003152132,0.002420187,6.1989e-05
1000,22,0.00566411,0.003185987,0.002408981,5.8174e-05
1000,23,0.005646944,0.003188133,0.002389908,5.9128e-05
1000,24,0.005714893,0.003261089,0.002388,5.6982e-05
1000,25,0.00577116,0.003314972,0.002390146,5.6028e-05
1000,26,0.005628824,0.003155947,0.002408028,5.579e-05
1000,27,0.00561595,0.003167152,0.002385139,5.4836e-05
1000,28,0.00564003,0.003195047,0.002375841,5.9128e-05
1000,29,0.005671024,0.003170013,0.002434969,5.722e-05
1000,30,0.005644083,0.003174782,0.002392054,6.7949e-05
1000,31,0.005708218,0.003234863,0.002403021,5.9128e-05
1000,32,0.005643129,0.003191948,0.002381086,6.1035e-05
1000,33,0.005625963,0.003154993,0.002401114,6.1035e-05
1000,34,0.005605936,0.003117085,0.00242281,5.6982e-05
1000,35,0.005684137,0.003187895,0.002424955,6.1035e-05
1000,36,0.005618095,0.003134012,0.002418041,5.6982e-05
1000,37,0.005617142,0.00316596,0.002386093,5.6028e-05
1000,38,0.005676985,0.003221989,0.002388,5.7936e-05
1000,39,0.005633116,0.003149986,0.002418041,5.6028e-05
1000,40,0.005848885,0.00312686,0.00265193,6.1035e-05
1000,41,0.005751133,0.00323987,0.00244689,5.5075e-05
1000,42,0.005635023,0.003196955,0.002371073,5.6982e-05
1000,43,0.005614996,0.003160954,0.002387047,5.7936e-05
1000,44,0.005590916,0.003134966,0.002388,5.6982e-05
1000,45,0.005749941,0.003268003,0.002413988,5.8889e-05
1000,46,0.005697012,0.003227949,0.00239706,6.1989e-05
1000,47,0.005653858,0.003175974,0.002406836,6.1989e-05
1000,48,0.005610943,0.003132105,0.002408981,6.1035e-05
1000,49,0.005684137,0.00317502,0.002432108,6.6996e-05
1000,50,0.005702972,0.003226042,0.002407789,5.9128e-05
1000,51,0.005709171,0.003218889,0.002418995,6.1989e-05
1000,52,0.005646944,0.00318408,0.00239706,5.6982e-05
1000,53,0.00565505,0.003197908,0.002392054,5.6028e-05
1000,54,0.005734205,0.003268003,0.00240016,5.6028e-05
1000,55,0.005703926,0.00326705,0.002372026,5.579e-05
1000,56,0.00562191,0.003181934,0.002367973,5.6982e-05
1000,57,0.005589008,0.003108978,0.002413988,5.6028e-05
1000,58,0.005599976,0.003142834,0.002393007,5.4836e-05
1000,59,0.005548954,0.003109932,0.00236392,6.6042e-05
1000,60,0.005994081,0.00327301,0.00264883,6.3181e-05
1000,61,0.005663872,0.003160954,0.00243187,6.1989e-05
1000,62,0.005710125,0.003235102,0.002398014,6.1035e-05
1000,63,0.005845785,0.003376961,0.002398968,5.8889e-05
1000,64,0.005674124,0.003201962,0.002405882,5.6028e-05
1000,65,0.005671978,0.003221989,0.00237608,6.3896e-05
1000,66,0.006006002,0.003535032,0.002403975,5.7936e-05
1000,67,0.005646944,0.003163099,0.002417803,5.6982e-05
1000,68,0.005634785,0.003182888,0.00238204,5.9843e-05
1000,69,0.005717039,0.003265142,0.002388,5.6028e-05
1000,70,0.005622149,0.003161192,0.002375126,7.7009e-05
1000,71,0.005634069,0.003171921,0.002393007,5.9128e-05
1000,72,0.005649805,0.003154039,0.002398968,8.7976e-05
1000,73,0.005676031,0.003139973,0.002464056,6.1989e-05
1000,74,0.005614996,0.003155947,0.002391815,5.8174e-05
1000,75,0.006078959,0.003483057,0.002511024,7.4148e-05
1000,76,0.005758047,0.003270864,0.002416849,6.1035e-05
1000,77,0.005620003,0.003120899,0.002433062,5.6982e-05
1000,78,0.005622149,0.003154993,0.002396107,6.1035e-05
1000,79,0.005787134,0.003322124,0.002397776,5.722e-05
1000,80,0.005748034,0.003283024,0.002391815,6.4135e-05
1000,81,0.005741119,0.003268957,0.002405167,5.7936e-05
1000,82,0.005671978,0.003203154,0.002382994,7.1049e-05
1000,83,0.00579381,0.003221989,0.002482176,8.0824e-05
1000,84,0.005778074,0.003295183,0.002412081,6.1989e-05
1000,85,0.005763054,0.003287077,0.002402067,6.3896e-05
1000,86,0.005656958,0.003180981,0.002403975,6.2943e-05
1000,87,0.006264925,0.003636122,0.002557993,6.1989e-05
1000,88,0.005812168,0.003357887,0.002386808,5.8174e-05
1000,89,0.005789995,0.003300905,0.002405882,7.2956e-05
1000,90,0.005807877,0.003262997,0.002473116,6.2943e-05
1000,91,0.005842924,0.003246069,0.002526045,6.1035e-05
1000,92,0.005562067,0.003144979,0.002351999,5.6982e-05
1000,93,0.00560689,0.003155947,0.00237298,6.8903e-05
1000,94,0.005563021,0.003089905,0.002404928,5.9128e-05
1000,95,0.005949974,0.003241062,0.002635002,6.485e-05
1000,96,0.005892992,0.003157854,0.002665043,6.0081e-05
1000,97,0.006036997,0.003455877,0.002513885,5.8174e-05
1000,98,0.005721092,0.003275156,0.002378941,5.6982e-05
1000,99,0.005643845,0.00316906,0.002408981,5.6982e-05
1000,100,0.005661011,0.003184795,0.002408981,5.7936e-05
1000,101,0.005726099,0.003234148,0.002422094,6.1035e-05
1000,102,0.005620003,0.00317502,0.002379894,5.6028e-05
1000,103,0.005632162,0.003201008,0.00236702,5.5075e-05
1000,104,0.005589962,0.003123045,0.002401114,5.6982e-05
1000,105,0.006109953,0.003354073,0.002400875,0.000345945
1000,106,0.005598068,0.003138781,0.002388,6.1989e-05
1000,107,0.005595207,0.003149986,0.002377033,5.9128e-05
1000,108,0.005679846,0.00313592,0.002418041,0.000115871
1000,109,0.005637884,0.003136873,0.002432108,5.9843e-05
1000,110,0.005666971,0.003143072,0.002452135,6.1989e-05
1000,111,0.005959988,0.003299952,0.002588987,5.7936e-05
1000,112,0.005599976,0.003138781,0.00239706,5.579e-05
1000,113,0.005625963,0.003162146,0.002398014,5.6028e-05
1000,114,0.005698919,0.003226995,0.00240612,5.4836e-05
1000,115,0.005692959,0.003227234,0.002402067,5.4836e-05
1000,116,0.005681038,0.003167152,0.002441168,6.3896e-05
1000,117,0.00563097,0.003167868,0.002396822,5.6982e-05
1000,118,0.005585909,0.003126144,0.002394915,5.6028e-05
1000,119,0.005692959,0.003218889,0.002407074,5.7936e-05
1000,120,0.006046057,0.003234148,0.002739191,6.2943e-05
1000,121,0.005677938,0.003159046,0.002441883,6.7949e-05
1000,122,0.005619764,0.003151894,0.002399921,5.8889e-05
1000,123,0.005633116,0.003141165,0.002424002,5.8174e-05
1000,124,0.005679131,0.003189087,0.002424955,5.722e-05
1000,125,0.005651951,0.00316596,0.002419949,5.6982e-05
1000,126,0.005640984,0.003185987,0.002388954,5.6982e-05
1000,127,0.005727053,0.003284931,0.002373934,5.8889e-05
1000,128,0.005657911,0.003202915,0.002388,5.7936e-05
1000,129,0.005692005,0.003214121,0.002408981,6.0081e-05
1000,130,0.005614042,0.003158092,0.002390146,5.6028e-05
1000,131,0.005666018,0.003226995,0.002373934,5.6028e-05
1000,132,0.005584002,0.003113031,0.002403975,5.8889e-05
1000,133,0.005895138,0.003134012,0.002662897,8.9169e-05
1000,134,0.005716801,0.003192902,0.00244689,6.7949e-05
1000,135,0.006156921,0.003213167,0.002872944,6.2943e-05
1000,136,0.005676031,0.003195047,0.002408028,6.1989e-05
1000,137,0.005696058,0.003233194,0.00239706,5.7936e-05
1000,138,0.00566721,0.003182888,0.002415895,5.8174e-05
1000,139,0.005669117,0.0031991,0.002405167,5.6982e-05
1000,140,0.005650043,0.003180981,0.002400875,5.9128e-05
1000,141,0.005679846,0.00324297,0.002370119,5.7936e-05
1000,142,0.006841898,0.004010916,0.002753019,6.6996e-05
1000,143,0.005639076,0.003180027,0.002388,6.2943e-05
1000,144,0.005595922,0.003120899,0.002407074,5.8889e-05
1000,145,0.005657911,0.003164053,0.002424002,5.9843e-05
1000,146,0.006112099,0.003174782,0.002867937,6.1035e-05
1000,147,0.005699873,0.003219128,0.002413988,5.7936e-05
1000,148,0.005648136,0.003192186,0.002389908,5.722e-05
1000,149,0.006229877,0.003793001,0.002367973,5.9843e-05
1000,150,0.006000042,0.0031991,0.002732038,6.0081e-05
1000,151,0.005631924,0.003170967,0.002394915,5.6982e-05
1000,152,0.005638123,0.003188133,0.002385139,5.6028e-05
1000,153,0.005698919,0.003196001,0.002416849,7.6056e-05
1000,154,0.00562191,0.003167868,0.002379894,6.6042e-05
1000,155,0.005635977,0.003165007,0.002402067,5.9843e-05
1000,156,0.005723,0.003253937,0.002402067,5.6982e-05
1000,157,0.006156921,0.003546953,0.002533913,6.6042e-05
1000,158,0.005718946,0.003238916,0.002411842,5.9128e-05
1000,159,0.005734921,0.003214836,0.002450943,6.0081e-05
1000,160,0.005702019,0.003260136,0.00237608,5.6982e-05
1000,161,0.005633116,0.003167152,0.002398014,5.9128e-05
1000,162,0.005757093,0.003261805,0.002420902,6.5088e-05
1000,163,0.005994081,0.003446102,0.002470016,6.6996e-05
1000,164,0.00564003,0.003190041,0.002377987,6.2943e-05
1000,165,0.005672932,0.00316596,0.002434015,6.3896e-05
1000,166,0.005602837,0.003123999,0.002407074,6.2943e-05
1000,167,0.005733013,0.003245115,0.002418995,6.0081e-05
1000,168,0.00563693,0.0031569,0.002413034,5.8889e-05
1000,169,0.005670071,0.003203154,0.002398968,5.9128e-05
1000,170,0.005628109,0.003144979,0.002412081,6.1035e-05
1000,171,0.006021023,0.003554821,0.002398968,5.7936e-05
1000,172,0.005666018,0.00316906,0.002429008,5.7936e-05
1000,173,0.005647898,0.003176928,0.002403021,5.8889e-05
1000,174,0.005674124,0.00323987,0.002367973,5.6028e-05
1000,175,0.005723,0.003273964,0.002379894,5.7936e-05
1000,176,0.005531073,0.00310111,0.002365112,5.6028e-05
1000,177,0.005674124,0.003206015,0.002379179,7.8917e-05
1000,178,0.005734921,0.00327301,0.002394199,5.7936e-05
1000,179,0.005776167,0.003318071,0.002389908,5.8174e-05
1000,180,0.005648851,0.003176928,0.002400875,6.1989e-05
1000,181,0.005708933,0.003251076,0.002388,6.0797e-05
1000,182,0.005624771,0.003162861,0.00239706,5.579e-05
1000,183,0.005737066,0.00326705,0.002402782,5.722e-05
1000,184,0.005643845,0.003175974,0.002385139,7.391e-05
1000,185,0.005666018,0.003224134,0.002374172,5.7936e-05
1000,186,0.005647898,0.003196955,0.002384901,5.6028e-05
1000,187,0.005732059,0.003220081,0.002446175,5.6982e-05
1000,188,0.005668163,0.003194094,0.002407789,5.722e-05
1000,189,0.005659819,0.00316596,0.002403975,7.2956e-05
