n,p,total_s,read_s,compute_s,write_s
5000,1,0.384219164,0.321208308,0.062821684,0.000160043
5000,2,0.260411746,0.228728623,0.031444073,0.000201315
5000,3,0.234682851,0.212564792,0.021818845,0.000227827
5000,4,0.23318809,0.216894687,0.016030538,0.00020949
5000,5,0.343808026,0.330325812,0.013212315,0.000222408
5000,6,0.238732758,0.227247378,0.011154091,0.000259946
5000,7,0.240082716,0.229597291,0.010154039,0.000281398
5000,8,0.246088633,0.237426841,0.008366784,0.000226461
10000,1,1.314479965,1.063786591,0.250384199,0.00025883
10000,2,1.537899203,1.411987954,0.125153068,0.000664026
10000,3,1.33818904,1.253110205,0.084315946,0.00068851
10000,4,0.937212073,0.872106488,0.064426062,0.000636642
10000,5,1.24190428,1.18981038,0.051319782,0.000677592
10000,6,0.924465337,0.880788823,0.042964786,0.000652397
10000,7,1.271780393,1.23361865,0.03711342,0.00096521
10000,8,0.928137606,0.892936424,0.034145402,0.000951585
15000,1,2.935762084,2.377338647,0.557969982,0.00037626
15000,2,2.935278076,2.640786265,0.292382392,0.001986457
15000,3,2.633096339,2.442176702,0.189906382,0.000901694
15000,4,2.330211899,2.183546782,0.14574841,0.00082553
15000,5,2.323408736,2.205035758,0.117358613,0.000802164
15000,6,2.413965684,2.274848447,0.138141159,0.000859273
15000,7,3.511762118,3.419374688,0.084205333,0.000819788
15000,8,2.479993671,2.40553609,0.07354436,0.000802588
20000,1,5.275161583,4.265444597,1.009158366,0.000467146
20000,2,4.798154755,4.280748171,0.516314896,0.000995405
20000,3,5.283204996,4.941562188,0.340603236,0.000943505
20000,4,5.670369266,5.414885865,0.254459537,0.000917532
20000,5,4.082875744,3.868909267,0.212832782,0.000991195
20000,6,4.248033355,4.073396907,0.173620222,0.000917964
20000,7,4.297750748,4.14140874,0.154978748,0.001294253
20000,8,4.321082717,4.186169336,0.133844038,0.000911692
25000,1,8.411495629,6.843036823,1.567728741,0.000616722
25000,2,7.155075657,6.369641621,0.784263127,0.001048672
25000,3,6.746662914,6.13706522,0.608477733,0.000994353
25000,4,6.75114666,6.330190949,0.415346445,0.001255577
25000,5,6.599135248,6.2650004,0.332886111,0.001064826
25000,6,6.724139641,6.377191202,0.345639573,0.001146425
25000,7,6.688886985,6.448244955,0.2392673,0.001133141
25000,8,8.397291935,8.154159886,0.241854368,0.001125955
30000,1,12.840116739,9.879615206,2.959660245,0.000704253
30000,2,12.788624673,11.660662232,1.125962444,0.001333011
30000,3,9.20752108,8.412592219,0.793656472,0.001164381
30000,4,9.088214952,8.490024543,0.596835882,0.001228685
30000,5,9.126340468,8.653369684,0.4716908,0.001148048
30000,6,9.338417007,8.920036376,0.41707932,0.001184559
30000,7,9.716684735,9.395456642,0.319578141,0.001530256
30000,8,9.487798952,9.183704018,0.302307382,0.001646179
35000,1,16.323665412,13.311978334,3.010743902,0.000789226
35000,2,16.211750369,14.651149626,1.559200505,0.001271319
35000,3,14.312256417,13.266189268,1.043913158,0.002020328
35000,4,14.604201183,13.852880265,0.749675228,0.001550743
35000,5,14.488347018,13.842854972,0.643454797,0.001744831
35000,6,13.75119064,13.235726031,0.513705055,0.001594139
35000,7,13.766898148,13.291761842,0.47356889,0.001441971
35000,8,14.765993484,14.354334194,0.410105404,0.001356194
40000,1,22.60092083,18.658410709,3.934980745,0.001648774
40000,2,23.332454373,21.278589274,2.052326409,0.001371654
40000,3,19.894333644,18.581873729,1.310241199,0.001379314
40000,4,23.102581659,22.0860613,1.014271678,0.001779921
40000,5,20.304054213,19.4599488,0.842692699,0.00126523
40000,6,20.368835976,19.69238877,0.674578716,0.001364478
40000,7,20.53738487,19.947425582,0.588044722,0.001808109
40000,8,21.411340586,20.85450529,0.555260898,0.001360206
