n,trials,total_mean_s,total_std_s,read_mean_s,compute_mean_s,write_mean_s
1000,363,0.005519579920110193,0.00018250469228676036,0.0031311925950413223,0.0023203874820936637,5.882961432506887e-05
2000,65,0.0609819852,0.3082362779081222,0.0515576252,0.00933167386153846,8.011966153846154e-05
3000,35,0.057439797171428573,0.0016083920451037425,0.03337933,0.02393556322857143,0.00010960442857142857
4000,21,0.09524792704761904,0.006982026558131987,0.05530013357142857,0.039808965904761906,0.00011981109523809524
5000,15,0.14247725806666667,0.007134905240767819,0.08348293306666667,0.05879931446666667,0.00016725853333333332
6000,10,0.2033417225,0.00912571533195808,0.1181561233,0.0850300074,0.0001269102
7000,8,0.284037113125,0.016588459908003207,0.16829073425000002,0.115564703875,0.000142991625
8000,6,0.367108663,0.017545476587210077,0.21625530716666666,0.15066734966666667,0.00014754133333333332
9000,5,0.4644186974,0.026876546819738546,0.2746468546,0.1893307686,0.0004045486
10000,5,0.5977143288,0.04830375977493814,0.3621336462,0.235122967,0.0004152298
